Symbol,Name,Last,Change,%Change,Price Vol,Time
AMZN,Amazon.com Inc,244.22,+21.36,+9.58%,"40,594,100",10/31/25
TSLA,Tesla Inc,456.56,+16.46,+3.74%,"37,886,950",10/31/25
META,Meta Platforms Inc,648.35,-18.12,-2.72%,"36,834,578",10/31/25
NVDA,Nvidia Corp,202.49,-0.40,-0.20%,"36,347,500",10/31/25
AAPL,Apple Inc,270.37,-1.03,-0.38%,"23,278,449",10/31/25
MSFT,Microsoft Corp,517.81,-7.95,-1.51%,"17,596,634",10/31/25
GOOGL,Alphabet Cl A,281.19,-0.29,-0.10%,"11,034,346",10/31/25
PLTR,Palantir Technologies Inc Cl A,200.47,+5.92,+3.04%,"10,529,306",10/31/25
AMD,Adv Micro Devices,256.12,+1.28,+0.50%,"8,811,424",10/31/25
GOOG,Alphabet Cl C,281.82,-0.08,-0.03%,"8,427,320",10/31/25
